Tahun,KAB. BANGKALAN,KAB. BANYUWANGI,KAB. BLITAR,KAB. BOJONEGORO,KAB. BONDOWOSO,KAB. GRESIK,KAB. JEMBER,KAB. JOMBANG,KAB. KEDIRI,KAB. LAMONGAN,KAB. LUMAJANG,KAB. MADIUN,KAB. MAGETAN,KAB. MALANG,KAB. MOJOKERTO,KAB. NGANJUK,KAB. NGAWI,KAB. PACITAN,KAB. PAMEKASAN,KAB. PASURUAN,KAB. PONOROGO,KAB. PROBOLINGGO,KAB. SAMPANG,KAB. SIDOARJO,KAB. SITUBONDO,KAB. SUMENEP,KAB. TRENGGALEK,KAB. TUBAN,KAB. TULUNGAGUNG,KOTA BATU,KOTA BLITAR,KOTA KEDIRI,KOTA MADIUN,KOTA MALANG,KOTA MOJOKERTO,KOTA PASURUAN,KOTA PROBOLINGGO,KOTA SURABAYA
1991,-0.683,-0.254,-0.365,-0.446,-0.437,-0.746,-0.43,-0.448,-0.353,-0.576,-0.449,-0.331,-0.367,-0.338,-0.477,-0.322,-0.383,-0.395,-0.526,-0.511,-0.344,-0.48,-0.567,-0.63,-0.439,-0.458,-0.346,-0.49,-0.359,-0.467,-0.367,-0.353,-0.331,-0.468,-0.507,-0.512,-0.49,-0.834
1992,-0.531,0.107,-0.202,-0.334,-0.252,-0.587,-0.245,-0.334,-0.251,-0.44,-0.289,-0.244,-0.269,-0.132,-0.365,-0.239,-0.284,-0.283,-0.376,-0.369,-0.249,-0.326,-0.41,-0.449,-0.257,-0.367,-0.243,-0.372,-0.244,-0.355,-0.206,-0.251,-0.244,-0.341,-0.386,-0.37,-0.336,-0.658
1993,-0.272,0.101,0.056,-0.127,-0.094,-0.314,-0.078,-0.127,-0.057,-0.204,-0.088,-0.073,-0.08,0.201,-0.164,-0.074,-0.092,-0.074,-0.181,-0.171,-0.066,-0.128,-0.192,-0.198,-0.108,-0.251,-0.048,-0.152,-0.031,-0.162,0.048,-0.059,-0.073,-0.129,-0.174,-0.17,-0.137,-0.365
1994,-0.564,-0.397,-0.45,-0.466,-0.461,-0.6,-0.458,-0.449,-0.449,-0.506,-0.46,-0.451,-0.455,-0.452,-0.427,-0.449,-0.457,-0.457,-0.486,-0.437,-0.452,-0.462,-0.496,-0.476,-0.465,-0.503,-0.451,-0.476,-0.451,-0.518,-0.451,-0.449,-0.451,-0.539,-0.448,-0.439,-0.464,-0.646
1995,-0.256,-0.344,-0.247,-0.238,-0.263,-0.268,-0.262,-0.227,-0.247,-0.238,-0.247,-0.253,-0.247,-0.248,-0.206,-0.254,-0.245,-0.242,-0.242,-0.211,-0.251,-0.24,-0.239,-0.206,-0.265,-0.257,-0.249,-0.235,-0.246,-0.285,-0.247,-0.247,-0.253,-0.3,-0.214,-0.213,-0.238,-0.282
1996,-0.193,0.019,-0.206,-0.172,-0.137,-0.197,-0.142,-0.168,-0.182,-0.182,-0.171,-0.176,-0.176,-0.241,-0.143,-0.176,-0.174,-0.179,-0.151,-0.161,-0.178,-0.17,-0.165,-0.24,-0.133,-0.121,-0.183,-0.169,-0.189,-0.239,-0.204,-0.182,-0.176,-0.267,-0.159,-0.163,-0.171,-0.213
1997,-0.139,-0.121,-0.192,-0.131,-0.121,-0.145,-0.132,-0.14,-0.143,-0.136,-0.152,-0.124,-0.13,-0.246,-0.131,-0.123,-0.128,-0.14,-0.096,-0.135,-0.13,-0.141,-0.117,-0.142,-0.107,0.034,-0.141,-0.129,-0.153,-0.21,-0.19,-0.142,-0.124,-0.228,-0.133,-0.135,-0.139,-0.152
1998,0.179,0.748,0.283,0.198,0.356,0.175,0.354,0.212,0.206,0.187,0.297,0.181,0.194,0.328,0.211,0.177,0.193,0.212,0.276,0.221,0.192,0.272,0.248,0.114,0.359,0.316,0.203,0.199,0.22,0.334,0.281,0.205,0.181,0.347,0.199,0.222,0.264,0.161
1999,-0.383,-0.276,-0.369,-0.381,-0.348,-0.386,-0.351,-0.385,-0.385,-0.384,-0.366,-0.389,-0.384,-0.354,-0.39,-0.392,-0.383,-0.378,-0.349,-0.391,-0.386,-0.372,-0.361,-0.411,-0.343,-0.301,-0.384,-0.377,-0.38,-0.361,-0.369,-0.385,-0.389,-0.355,-0.39,-0.39,-0.374,-0.39
2000,-0.207,-0.393,-0.229,-0.268,-0.294,-0.18,-0.287,-0.26,-0.275,-0.24,-0.261,-0.296,-0.283,-0.184,-0.26,-0.298,-0.282,-0.268,-0.282,-0.271,-0.287,-0.266,-0.264,-0.298,-0.302,-0.355,-0.277,-0.261,-0.263,-0.22,-0.231,-0.275,-0.296,-0.21,-0.258,-0.271,-0.267,-0.154
2001,-0.127,-0.106,-0.082,-0.104,-0.157,-0.097,-0.151,-0.138,-0.037,-0.149,-0.159,0.007,-0.039,-0.086,-0.199,0.018,-0.051,-0.081,-0.222,-0.224,-0.014,-0.177,-0.214,-0.27,-0.162,-0.256,-0.025,-0.138,-0.051,-0.17,-0.083,-0.036,0.007,-0.151,-0.189,-0.222,-0.181,-0.074
2002,0.169,0.003,0.165,0.198,0.074,0.207,0.08,0.158,0.268,0.144,0.089,0.331,0.273,0.118,0.101,0.345,0.26,0.216,0.035,0.047,0.3,0.077,0.047,-0.036,0.07,0.009,0.28,0.161,0.242,0.069,0.166,0.27,0.331,0.07,0.105,0.047,0.074,0.229
2003,0.132,-0.23,0.083,0.136,-0.008,0.162,-0.005,0.104,0.185,0.107,0.024,0.239,0.191,0.03,0.064,0.252,0.182,0.143,-0.006,0.028,0.213,0.028,0.013,0.021,-0.011,-0.028,0.194,0.108,0.16,-0.013,0.084,0.186,0.239,-0.017,0.074,0.028,0.03,0.188
