Tahun,KAB. BANGKALAN,KAB. BANYUWANGI,KAB. BLITAR,KAB. BOJONEGORO,KAB. BONDOWOSO,KAB. GRESIK,KAB. JEMBER,KAB. JOMBANG,KAB. KEDIRI,KAB. LAMONGAN,KAB. LUMAJANG,KAB. MADIUN,KAB. MAGETAN,KAB. MALANG,KAB. MOJOKERTO,KAB. NGANJUK,KAB. NGAWI,KAB. PACITAN,KAB. PAMEKASAN,KAB. PASURUAN,KAB. PONOROGO,KAB. PROBOLINGGO,KAB. SAMPANG,KAB. SIDOARJO,KAB. SITUBONDO,KAB. SUMENEP,KAB. TRENGGALEK,KAB. TUBAN,KAB. TULUNGAGUNG,KOTA BATU,KOTA BLITAR,KOTA KEDIRI,KOTA MADIUN,KOTA MALANG,KOTA MOJOKERTO,KOTA PASURUAN,KOTA PROBOLINGGO,KOTA SURABAYA
1991,27.28,27.6,26.42,27.37,25.8,27.3,27.0,27.26,27.08,27.43,26.5,27.14,25.13,24.41,26.91,27.25,27.25,26.76,27.43,26.66,26.88,26.25,27.43,27.38,27.5,27.55,27.09,27.49,27.04,20.67,26.49,27.19,27.21,24.35,27.35,27.47,27.47,27.22
1992,27.43,27.96,26.58,27.49,25.99,27.46,27.18,27.37,27.18,27.56,26.66,27.23,25.22,24.62,27.02,27.34,27.34,26.88,27.58,26.8,26.97,26.41,27.58,27.57,27.68,27.64,27.19,27.6,27.16,20.79,26.65,27.29,27.3,24.48,27.47,27.61,27.63,27.4
1993,27.69,27.95,26.84,27.69,26.14,27.73,27.35,27.58,27.38,27.8,26.86,27.4,25.41,24.95,27.22,27.5,27.54,27.09,27.78,27.0,27.15,26.61,27.8,27.82,27.83,27.75,27.39,27.82,27.37,20.98,26.9,27.48,27.47,24.69,27.69,27.81,27.83,27.69
1994,27.4,27.46,26.33,27.35,25.78,27.44,26.97,27.25,26.99,27.5,26.49,27.02,25.04,24.3,26.96,27.13,27.17,26.7,27.47,26.73,26.77,26.27,27.5,27.54,27.47,27.5,26.98,27.5,26.95,20.62,26.4,27.09,27.09,24.28,27.41,27.54,27.5,27.41
1995,27.71,27.51,26.53,27.58,25.98,27.78,27.16,27.48,27.19,27.77,26.7,27.22,25.25,24.5,27.18,27.32,27.38,26.92,27.72,26.96,26.97,26.49,27.75,27.81,27.67,27.75,27.19,27.74,27.15,20.86,26.61,27.3,27.29,24.52,27.65,27.77,27.73,27.77
1996,27.77,27.87,26.57,27.65,26.1,27.85,27.28,27.54,27.25,27.82,26.77,27.3,25.32,24.51,27.24,27.4,27.45,26.98,27.81,27.01,27.04,26.56,27.83,27.77,27.81,27.88,27.25,27.81,27.21,20.9,26.65,27.36,27.37,24.56,27.7,27.81,27.79,27.84
1997,27.82,27.73,26.59,27.69,26.12,27.9,27.29,27.56,27.29,27.87,26.79,27.35,25.36,24.5,27.25,27.45,27.5,27.02,27.86,27.03,27.09,26.59,27.88,27.87,27.83,28.04,27.3,27.85,27.25,20.93,26.66,27.4,27.42,24.59,27.73,27.84,27.83,27.9
1998,28.14,28.6,27.06,28.02,26.59,28.22,27.78,27.92,27.64,28.19,27.24,27.65,25.69,25.08,27.6,27.75,27.82,27.37,28.23,27.39,27.41,27.01,28.24,28.13,28.3,28.32,27.64,28.18,27.62,21.47,27.13,27.75,27.72,25.17,28.06,28.2,28.23,28.21
1999,27.58,27.58,26.41,27.44,25.89,27.66,27.08,27.32,27.05,27.62,26.58,27.08,25.11,24.39,26.99,27.18,27.24,26.78,27.61,26.78,26.83,26.36,27.63,27.6,27.6,27.7,27.05,27.6,27.02,20.78,26.48,27.16,27.16,24.47,27.47,27.59,27.59,27.66
2000,27.76,27.46,26.55,27.55,25.94,27.86,27.14,27.44,27.16,27.76,26.69,27.18,25.21,24.56,27.12,27.28,27.35,26.89,27.67,26.9,26.93,26.47,27.73,27.72,27.64,27.65,27.16,27.72,27.14,20.92,26.62,27.27,27.25,24.61,27.6,27.71,27.7,27.9
